date,S,E,I,Q,R,predicted_new
2020-09-01,56012128.257267706,2.0759797489785888e-07,2.5443144373850264e-07,3.8770745507870568,69987867.86565745,1.4332320612376258e-07
2020-09-02,56012128.25726758,1.691358765139579e-07,2.061051461746141e-07,3.5081221888777545,69987868.23461002,1.1629441490084257e-07
2020-09-03,56012128.257267475,1.3683114862637575e-07,1.6872354518424866e-07,3.174280261059172,69987868.56845213,9.487619125789924e-08
2020-09-04,56012128.25726739,1.1198166873297386e-07,1.3576328044917806e-07,2.872207587635819,69987868.87052496,7.671825766367004e-08
2020-09-05,56012128.257267326,8.782545672065057e-08,1.1619953705429461e-07,2.5988809683899503,69987869.1438517,6.405877675689513e-08
2020-09-06,56012128.25726727,6.03098971873514e-08,1.1468858980350524e-07,2.3515647027386692,69987869.39116804,5.794996321385225e-08
2020-09-07,56012128.257267214,5.375289661726674e-08,8.458629385245526e-08,2.1277837503963246,69987869.61494909,4.4594752927382873e-08
2020-09-08,56012128.257267185,4.6243164210429995e-08,6.409886383856866e-08,1.9252983623448061,69987869.81743455,3.489573432042321e-08
2020-09-09,56012128.257267155,3.5974044601491e-08,5.505259446088124e-08,1.7420820117944358,69987870.00065096,2.922217415652769e-08
2020-09-10,56012128.25726713,4.301862688714114e-08,1.9586410301225502e-08,1.576301002989596,69987870.16643202,1.6441849637276683e-08
2020-09-11,56012128.25726711,3.0199794493675696e-08,2.4629626698613044e-08,1.4262961331019164,69987870.31643692,1.5895251363091147e-08
2020-09-12,56012128.257267095,2.217931776729154e-08,2.4346646564790286e-08,1.2905661105410116,69987870.45216694,1.4177592041010667e-08
2020-09-13,56012128.25726707,1.7469247444717366e-08,2.0811795632913046e-08,1.1677525073223114,69987870.57498057,1.1821127360503417e-08
2020-09-14,56012128.257267065,1.4099332131502265e-08,1.7100679522853006e-08,1.0566261457851274,69987870.68610695,9.662230389758706e-09
2020-09-15,56012128.25726706,9.791002280472991e-09,1.6950055574288713e-08,0.9560749003817369,69987870.78665821,8.740115175324196e-09
2020-09-16,56012128.25726704,7.2718378161856326e-09,1.5032375971808897e-08,0.8650923519932219,69987870.87764077,7.468935193982403e-09
2020-09-17,56012128.257267036,8.270337433737697e-09,7.90975563050062e-09,0.7827679364208001,69987870.95996518,4.819013195670979e-09
2020-09-18,56012128.25726703,3.5688021477668462e-09,1.2189765216884338e-08,0.7082777221983236,69987871.03445542,5.590877104049009e-09
2020-09-19,56012128.25726702,7.161221805121921e-09,2.127159808202014e-09,0.6408761901853557,69987871.10185695,2.2836027508166278e-09
2020-09-20,56012128.25726702,4.515824258471497e-09,4.112992617190581e-09,0.5798887608413089,69987871.16284437,2.5489138126547343e-09
2020-09-21,56012128.25726701,1.983509374468879e-09,6.424880357500241e-09,0.5247050490537164,69987871.2180281,2.9672965240215727e-09
2020-09-22,56012128.25726701,2.354317457051e-09,3.867217292990247e-09,0.474772761223517,69987871.26796037,2.0181874049644453e-09
2020-09-23,56012128.25726701,2.09403573426527e-09,2.814131861267255e-09,0.4295921587353881,69987871.31314097,1.5447943843403309e-09
2020-09-24,56012128.25726701,1.7493219959811737e-09,2.201309258950571e-09,0.3887110589006755,69987871.35402206,1.2306545753380477e-09
2020-09-25,56012128.25726701,1.4309270514856106e-09,1.7729328610089322e-09,0.35172031006418253,69987871.3910128,9.95574125497558e-10
2020-09-26,56012128.25726701,1.1173506573965422e-09,1.5247538321052396e-09,0.3182496868011233,69987871.42448343,8.335521526418315e-10
2020-09-27,56012128.25726701,1.0699187747071365e-09,9.441129561509044e-10,0.2879642393865933,69987871.45476887,5.917570700439215e-10
2020-09-28,56012128.25726701,1.2941428792770994e-09,-7.830044791635227e-12,0.2605608220640146,69987871.48217228,2.5575193568228313e-10
2020-09-29,56012128.25726701,3.2396619363562196e-10,1.3232783072280612e-09,0.23576518362508275,69987871.50696792,5.942332304213276e-10
2020-09-30,56012128.25726701,3.378270130845394e-10,9.395788034797693e-10,0.21332916193525978,69987871.52940395,4.434929531510617e-10
2020-10-01,56012128.25726701,2.3994324876478317e-09,-3.1172015241930444e-09,0.1930282138660428,69987871.5497049,0.0
2020-10-02,56012128.25726701,-6.842093710243378e-11,1.1534745351295681e-09,0.1746591541635535,69987871.56807396,4.4780258893526315e-10
2020-10-03,56012128.25726702,-6.961909864181038e-09,1.3551774406116836e-08,0.15803814031630145,69987871.58469497,4.0292002288210316e-09
2020-10-04,56012128.25726702,-4.907205165971017e-09,9.642451331148189e-09,0.1429988264983014,69987871.59973429,2.876162272172725e-09
2020-10-05,56012128.25726701,-2.3930469467003372e-09,4.923227764688796e-09,0.12939068967823364,69987871.61334246,1.4910045624526184e-09
2020-10-06,56012128.25726701,-6.663662964074882e-10,1.6661125161241247e-09,0.11707753788234182,69987871.6256556,5.332872193845301e-10
2020-10-07,56012128.25726701,3.997591667654095e-11,2.919658039097127e-10,0.10593613697728968,69987871.63679701,1.248085295812215e-10
2020-10-08,56012128.25726701,8.064729245307263e-11,1.493757790641942e-10,0.09585498043386471,69987871.64687817,7.589620385510171e-11
2020-10-09,56012128.25726701,2.9232580882577456e-11,1.8776142569947447e-10,0.0867331710891154,69987871.65599997,8.096861852063717e-11
2020-10-10,56012128.25726701,2.166993531510428e-12,1.9206475905293436e-10,0.07847941636493107,69987871.66425373,7.727603483988471e-11
2020-10-11,56012128.25726701,5.001238284321959e-11,6.79912887025943e-11,0.07101111024746493,69987871.67172202,3.7207048459425426e-11
2020-10-12,56012128.25726701,-7.10567908202764e-11,2.5930106362754075e-10,0.06425350229921353,69987871.67847963,8.952845280474292e-11
2020-10-13,56012128.25726701,1.1467744219924806e-09,-1.9892736541077392e-09,0.05813898513805292,69987871.68459415,0.0
2020-10-14,56012128.25726701,3.715490822104156e-09,-6.7006705933689786e-09,0.05260633202185979,69987871.6901268,0.0
2020-10-15,56012128.25726701,1.95578655247832e-09,-3.50263175593921e-09,0.047600178119404035,69987871.69513296,0.0
2020-10-16,56012128.25726702,-5.142231534081985e-09,9.4486971625765e-09,0.04307042200309369,69987871.69966272,2.7516283659037734e-09
